School Name,School ID Number,Course Work Number,Course Work Course Title,Course Work Catalog Code,Course Work Credit Hours,Non-Catalog Course Title
ASBURY UNIVERSITY               ,75595,589669,Calculus-II,UG21,4,Calculus II                     
ASBURY UNIVERSITY               ,75595,589666,Introduction to Drawing,UG21,3,Intro Drawing                   
ASBURY UNIVERSITY               ,75595,589663,Intro to Physics,UG21,4,Intro to Physics I              
ASBURY UNIVERSITY               ,75595,589664,Pure Elective,    ,0,Intro to Physics I Lab          
ASBURY UNIVERSITY               ,75595,589665,Adv Spanish Grammar/Composition,UG21,3,Spanish Comp & Conv             
ASBURY UNIVERSITY               ,75595,589662,Biblical History and Ideas,UG21,3,Und Old Testament               
ASBURY UNIVERSITY               ,75595,589668,Pure Elective,    ,3,War in Amer Memory              
Auburn University               ,68735,554751,Pure Elective,    ,3,Appreciation of Music           
Auburn University               ,68735,554750,Pure Elective,    ,4,Calculus With Business AppsI    
Auburn University               ,68735,554749,Pure Elective,    ,3,English Composition II          
Auburn University               ,68735,554752,Pure Elective,    ,3,Introduction to Theatre         
Auburn University               ,68735,554748,Pure Elective,    ,3,Principles of Microeconomics    
BERRY COLLEGE                   ,308225,565907,Intro to Comparative Politics,UG19,3,American National Government    
BERRY COLLEGE                   ,308225,565925,Pure Elective,    ,3,Applied Calculus                
BERRY COLLEGE                   ,308225,565916,Pure Elective,    ,4,Biological Diversity            
BERRY COLLEGE                   ,308225,565911,Intro to Cultural Anthropology,UG19,3,Cultural Anthropology           
BERRY COLLEGE                   ,308225,565909,Introduction to Statistics,UG19,3,Elementary Statistics           
BERRY COLLEGE                   ,308225,565915,Pure Elective,    ,3,Experiencing Theatre            
BERRY COLLEGE                   ,308225,565924,Community-Based Learn Sub Crs,UG21,4,Foundations of Edu/Psych        
BERRY COLLEGE                   ,308225,565908,Development of United States-II,UG19,3,Foundations of Modern Americ    
BERRY COLLEGE                   ,308225,565923,Introduction to Linguistics,UG19,3,Intro to Applied Linguistics    
BERRY COLLEGE                   ,308225,565914,Pure Elective,    ,3,Intro to Christian Ethics       
BERRY COLLEGE                   ,308225,565910,Pure Elective,    ,3,Introduction to Psychology      
BERRY COLLEGE                   ,308225,565921,Life-Span Developmental Psych,UG19,3,Lifespan Development            
BERRY COLLEGE                   ,308225,565912,Intro to Economics,UG19,3,Markets and Society             
BERRY COLLEGE                   ,308225,565926,Pure Elective,    ,3,Mathematics for Teachers        
BERRY COLLEGE                   ,308225,565913,Pure Elective,    ,3,Nutrition                       
BERRY COLLEGE                   ,308225,565919,Pure Elective,    ,1,Orientation to Teacher Ed       
BERRY COLLEGE                   ,308225,565922,Financial Accounting,UG19,3,Prin of Financial Accounting    
BERRY COLLEGE                   ,308225,565918,Managerial Economics,UG19,3,Principles of Managerial Eco    
BERRY COLLEGE                   ,308225,565920,Pure Elective,    ,3,Reading the South               
BERRY COLLEGE                   ,308225,565917,Pure Elective,    ,3,Rhetoric and Public Address     
Bard College                    ,231936,566791,Calculus-I,UG20,3,Calculus I                      
Bard College                    ,231936,575280,Pure Elective,    ,3,Computer Science                
Bard College                    ,231936,566797,Pure Elective,    ,3,Epistemology of Conspiracy      
Bard College                    ,231936,575249,Pure Elective,    ,4,Intro to Gen Biology I w/Lab    
Bard College                    ,231936,575250,Pure Elective,    ,4,Intro to Gen Biology IIw/lab    
Bard College                    ,231936,566792,Pure Elective,    ,3,Intro to Painting               
Bard College                    ,231936,566790,Pure Elective,    ,3,The American Supreme Court      
Bellarmine University           ,234542,612113,Pure Elective,    ,3,Hnors FY Seminar: Refugees      
Bellarmine University           ,234542,612112,Pure Elective,    ,3,Honors History:Global Europe    
Bellarmine University           ,234542,612115,Pure Elective,    ,3,Introduction to Business        
Bellarmine University           ,234542,612117,Survey of Psychological Science,UG22,3,Introductory Psychology         
Bellarmine University           ,234542,612110,Financial Accounting,UG22,3,Prin of Financial Accounting    
Bellarmine University           ,234542,612114,Managerial Accounting,UG22,3,Prin ofManagerial Accounting    
Bellarmine University           ,234542,612111,Pure Elective,    ,3,Principles of Macroeconomics    
Bellarmine University           ,234542,612116,Pure Elective,    ,3,Principles of Microeconomics    
Bellarmine University           ,234542,612161,Calculus-II,UG22,4,Calculus II                     
Bellarmine University           ,234542,612165,Intro to Biochem & Cell Biology,UG22,4,Cell Biology                    
Bellarmine University           ,234542,612164,Pure Elective,    ,3,Experiencing Theatre            
Bellarmine University           ,234542,612163,Pure Elective,    ,3,Fake News and Public Trust      
Bellarmine University           ,234542,612160,General Chemistry-II,UG22,4,General Chemistry II            
Bellarmine University           ,234542,612157,General Chemistry-I,UG22,4,General College Chemistry I     
Bellarmine University           ,234542,612169,Introduction to Genetics,UG22,4,Genetics                        
Bellarmine University           ,234542,612159,Pure Elective,    ,3,Honors FY Seminar: Refugees     
Bellarmine University           ,234542,612158,Pure Elective,    ,3,Honors Intro AcademicWriting    
Bellarmine University           ,234542,612167,Pure Elective,    ,3,Introduction to Literature      
Bellarmine University           ,234542,612166,Organic Chemistry-I,UG22,4,Organic Chemistry I             
Bellarmine University           ,234542,612170,Organic Chemistry-II,UG22,4,Organic Chemistry II            
Bellarmine University           ,234542,612156,"Evolution, Biodiversity, Ecology",UG22,4,Principles of Biology           
Bellarmine University           ,234542,612168,General Physics-I,UG22,4,University Physics I            
Bellarmine University           ,234542,577682,Pure Elective,    ,3,Intro to Academic Writing       
Bellarmine University           ,234542,577683,Intro to Psychological Science,UG20,3,Introductory Psychology         
Belmont University              ,46913,589574,First-Year Music Production,UG21,1,Basic Training: DAW             
Belmont University              ,46913,589573,Centre College Choir,UG21,1,Belmont Chorale                 
Belmont University              ,46913,589586,Calculus-III,UG21,4,Calculus III                    
Belmont University              ,46913,589578,Centre College Choir,UG21,1,Chorale                         
Belmont University              ,46913,589581,First-Year Music Production,UG21,1,Critical Listening-Audio Prd    
Belmont University              ,46913,589575,Biblical History and Ideas,UG21,3,Engaging Bible and Culture      
Belmont University              ,46913,589570,Pure Elective,    ,3,Honors Humanities Seminar       
Belmont University              ,46913,589569,Pure Elective,    ,3,Honors Interdisciplinary Sem    
Belmont University              ,46913,589577,Pure Elective,    ,3,Honors Math Inquiry Seminar     
Belmont University              ,46913,589583,Pure Elective,    ,3,Honors Oral Comm Seminar        
Belmont University              ,46913,589584,Pure Elective,    ,3,Honors Social Science Seminr    
Belmont University              ,46913,589576,Pure Elective,    ,3,Honors Wellness Seminar         
Belmont University              ,46913,589579,Pure Elective,    ,3,Intro to Physics CLASS          
Belmont University              ,46913,589580,Pure Elective,    ,1,Intro to Physics Lab            
Belmont University              ,46913,589572,Pure Elective,    ,3,Mass Media and Society          
Belmont University              ,46913,589582,Programming and Problem Solving,UG21,3,Programming I                   
Belmont University              ,46913,589585,Pure Elective,    ,3,Study Abroad Writing Wkshp      
Belmont University              ,46913,589568,Pure Elective,    ,3,Survey of Audio Eng Tech        
Belmont University              ,46913,589571,Pure Elective,    ,3,Survey of Music Business        
Big Sandy Community & Technical ,354279,543118,Pure Elective,    ,3,Drawing I                       
Big Sandy Community & Technical ,354279,543117,Pure Elective,    ,3,General Psychology              
Big Sandy Community & Technical ,354279,543119,Development of United States-I,UG19,3,History of US Through 1865      
Big Sandy Community & Technical ,354279,543112,Development of United States-II,UG19,3,History of the US Since 1865    
Big Sandy Community & Technical ,354279,543113,Pure Elective,    ,3,Human Ecology                   
Big Sandy Community & Technical ,354279,543116,Pure Elective,    ,3,Intro to Art                    
Big Sandy Community & Technical ,354279,543115,Intro to Sociology,UG19,3,Intro to Sociology              
Big Sandy Community & Technical ,354279,543114,Pure Elective,    ,3,Introduction to Computers       
Big Sandy Community & Technical ,354279,631368,Pure Elective,    ,3,General Psychology              
Big Sandy Community & Technical ,354279,631367,Pure Elective,    ,3,History of the US Since 1865    
Big Sandy Community & Technical ,354279,631365,Human Anatomy & Physiology-I,UG21,4,Human Ana & Phys I with Lab     
Big Sandy Community & Technical ,354279,631366,Human Anatomy & Physiology-II,UG21,4,Human ana & Phys II with Lab    
Big Sandy Community & Technical ,354279,631369,Intro to Sociology,UG22,3,Intro to Sociology              
Big Sandy Community & Technical ,354279,631363,Pure Elective,    ,3,Introduction to Biology         
Big Sandy Community & Technical ,354279,631364,Pure Elective,    ,1,Introduction to Biology Lab     
Big Sandy Community & Technical ,354279,631370,Pure Elective,    ,3,Statistics                      
Big Sandy Community & Technical ,354279,577680,Pure Elective,    ,3,Basic Public Speaking           
Big Sandy Community & Technical ,354279,542761,Pure Elective,    ,4,College Physics I               
Big Sandy Community & Technical ,354279,542762,Pure Elective,    ,1,College Physics I Laboratory    
Big Sandy Community & Technical ,354279,542760,Pure Elective,    ,3,General Psychology              
Big Sandy Community & Technical ,354279,542757,Development of United States-II,UG19,3,History of the US Since 1865    
Big Sandy Community & Technical ,354279,577681,Pure Elective,    ,3,Intro to Art                    
Big Sandy Community & Technical ,354279,542763,Intro to Sociology,UG19,3,Intro to Sociology              
Big Sandy Community & Technical ,354279,577679,Pure Elective,    ,3,Introduction to Computers       
Bluegrass Comm. & Technical Coll,264752,631401,Pure Elective,    ,3,Basic Public Speaking           
Bluegrass Comm. & Technical Coll,264752,631402,Human Anatomy & Physiology-I,UG22,4,Huan Ana & Phys I with Lab      
Bluegrass Comm. & Technical Coll,264752,623674,Pure Elective,    ,3,College Algebra                 
Bluegrass Comm. & Technical Coll,264752,623673,Pure Elective,    ,3,Eathr's Physical Environment    
Bluegrass Comm. & Technical Coll,264752,623672,Pure Elective,    ,3,Intro to Interpersonal Comm     
Bluegrass Comm. & Technical Coll,264752,623671,Pure Elective,    ,3,Introduction to Biology         
Boston University               ,7835,542764,Calculus-I,UG19,3,Calc 1-Soc Sci                  
Boston University               ,7835,542766,Pure Elective,    ,3,Revo Anc to En                  
Boston University               ,7835,542767,Pure Elective,    ,4,Revo Anc to Enl                 
Boston University               ,7835,542765,Pure Elective,    ,4,Revo Anc to Enl                 
Brooklyn College of the City Uni,341226,589806,Pure Elective,    ,3,Basic Language Skills I         
Brooklyn College of the City Uni,341226,589802,Calculus-I,UG21,4,Calculus I                      
Brooklyn College of the City Uni,341226,589803,Pure Elective,    ,3,Ethics and Society              
Brooklyn College of the City Uni,341226,589800,Pure Elective,    ,4,General Biology I               
Brooklyn College of the City Uni,341226,589801,Pure Elective,    ,4,Intro to Creative Writing       
Brooklyn College of the City Uni,341226,589805,Intro to Sociology,UG21,3,Introduction to Sociology       
Brooklyn College of the City Uni,341226,589804,Survey of Psychological Science,UG21,3,Introductory Psychology         
Bucknell University             ,377420,600557,Calculus-I,UG21,3,Calculus I                      
Bucknell University             ,377420,600555,Intro to Economics,UG21,3,Economic Principles/Problems    
Bucknell University             ,377420,600558,Intermediate-II,UG21,3,Intermediate Spanish            
Bucknell University             ,377420,600556,Pure Elective,    ,3,Pricing Carbon                  
Bunker Hill Community College   ,7100,600610,Pure Elective,    ,3,Intro to Business               
Bunker Hill Community College   ,7100,600612,Inventing the Modern World-II,UG21,3,Modern World History            
Bunker Hill Community College   ,7100,600611,Inventing the United States-II,UG21,3,Reconstruction to Present       
Caldwell Community College & Tec,370097,565875,Development of United States-II,UG19,3,American History II             
Caldwell Community College & Tec,370097,565877,Pure Elective,    ,3,Art Appreciation                
Caldwell Community College & Tec,370097,565878,Pure Elective,    ,3,Business Law I                  
Caldwell Community College & Tec,370097,565872,Pure Elective,    ,3,General Astronomy I             
Caldwell Community College & Tec,370097,565873,Pure Elective,    ,1,General Astronomy I Lab         
Caldwell Community College & Tec,370097,565880,Intro to Economics,UG19,3,Prin of Macroeconomics          
Caldwell Community College & Tec,370097,565879,Pure Elective,    ,3,Prin of Microeconomics          
Caldwell Community College & Tec,370097,565876,Pure Elective,    ,3,Southern Culture                
Caldwell Community College & Tec,370097,565874,Pure Elective,    ,3,Survey of Economics             
Caldwell Community College & Tec,370097,565881,Pure Elective,    ,3,Writing and Inquiry             
Campbellsville University       ,38826,600790,Survey of Psychological Science,UG21,3,General Psychology              
Carson-Newman University        ,318127,600544,Pure Elective,    ,3,Hispanics in the U.S. Intens    
Carson-Newman University        ,318127,600547,Intermediate-I,UG21,3,Hispanics in the US III         
Carson-Newman University        ,318127,600551,Pure Elective,    ,3,Intro Behavior Science          
Carson-Newman University        ,318127,600543,Pure Elective,    ,3,Intro New Testament             
Carson-Newman University        ,318127,600546,Pure Elective,    ,3,Intro Old Testament             
Carson-Newman University        ,318127,600545,Pure Elective,    ,3,Intro to College Mathematics    
Carson-Newman University        ,318127,600549,Pure Elective,    ,3,Personal & Family Mangmnt       
Carson-Newman University        ,318127,600552,Pure Elective,    ,3,Psy of Adjustment & Health      
Carson-Newman University        ,318127,600553,Introduction to Research Methods,UG21,3,Research Design Interpret       
Carson-Newman University        ,318127,600554,Pure Elective,    ,3,Speech Fundamentals             
Carson-Newman University        ,318127,600542,Pure Elective,    ,3,Understan Human Behavior        
Carson-Newman University        ,318127,600548,Inventing the Modern World-II,UG21,3,World History II                
Carson-Newman University        ,318127,600550,Pure Elective,    ,3,Writing & Lit 3: Mythology      
Carson-Newman University        ,318127,600541,Pure Elective,    ,3,Writing & Lit Studies II        
College Of The Canyons          ,7239,543158,Acting-I,UG19,3,Acting Fundamentals             
College Of The Canyons          ,7239,543155,Pure Elective,    ,3,Fund of Public Speaking         
College Of The Canyons          ,7239,543154,Pure Elective,    ,3,Intro to Psychology             
College Of The Canyons          ,7239,543160,American Politics & Institutions,UG19,3,Intro-Amer Government/Politi    
College Of The Canyons          ,7239,543161,Intro to Sociology,UG19,3,Introduction to Sociology       
College Of The Canyons          ,7239,543156,Human Biological&CulturalOrigins,UG19,3,Physical Anthropology           
College Of The Canyons          ,7239,543159,Pure Elective,    ,3,Strategies of Argumentation     
College Of The Canyons          ,7239,543157,Development of United States-I,UG19,3,United States History I         
College of Coastal Georgia      ,382706,623698,Survey of Psychological Science,UG20,3,Intro to General Psychology     
College of Coastal Georgia      ,382706,623699,Intro to Sociology,UG20,3,Introduction to Sociology       
Colorado Christian University   ,382731,623731,Pure Elective,    ,3,American Literature II          
Colorado Christian University   ,382731,623730,Pure Elective,    ,3,British Literature I            
Colorado School of Mines        ,345974,623690,Pure Elective,    ,4,Calc for Sci Engr II Honors     
Colorado School of Mines        ,345974,623691,General Physics-I,UG22,4,Physics I-Mechanics             
Colorado School of Mines        ,345974,623689,General Chemistry-I,UG22,4,Prin of Chemistry I             
Dallas College                  ,377361,600683,Pure Elective,    ,4,Biology for Science Majors I    
Dallas College                  ,377361,600684,"Evolution, Biodiversity, Ecology",UG21,4,Biology forScience Majors II    
Dallas College                  ,377361,600685,Pure Elective,    ,3,Federal Government              
Dallas College                  ,377361,600688,Survey of Psychological Science,UG21,3,General Psychology              
Dallas College                  ,377361,600689,Pure Elective,    ,3,Intro to SpeechCommunication    
Dallas College                  ,377361,600686,Inventing the United States-I,UG21,3,United States History I         
Dallas College                  ,377361,600687,Inventing the United States-II,UG21,3,United States History II        
Dallas College                  ,377361,600216,Fundamentals-II,UG21,4,Beginning Spanish II            
Dallas College                  ,377361,600213,Pure Elective,    ,3,College Algebra                 
Dallas College                  ,377361,600215,Pure Elective,    ,3,Federal Government              
Dallas College                  ,377361,600217,Pure Elective,    ,4,Introductory Chemistry I        
Dallas College                  ,377361,600218,Pure Elective,    ,4,Introductory Chemistry II       
Dallas College                  ,377361,600212,Inventing the United States-I,UG21,3,United States History I         
Dallas College                  ,377361,600214,Inventing the United States-II,UG21,3,United States History II        
De Anza College                 ,7260,631371,Intro to Philosophy,UG22,3,Intro to Philosophy             
De Anza College                 ,7260,631372,Intro to Sociology,UG22,3,Intro to Sociology              
DePauw University               ,162545,612101,Survey of Psychological Science,UG22,3,Introductory Psychology         
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589707,Pure Elective,    ,4,Basic Anatomy/Phys w Lab        
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589713,Life-Span Developmental Psych,UG21,3,Developmental Psychology        
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589709,Pure Elective,    ,1,Gen College Chemistry Lab I     
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589708,General Chemistry-I,UG21,4,General College Chemistry I     
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589712,Pure Elective,    ,3,General Psychology              
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589711,Inventing the United States-II,UG21,3,History of the US since 1865    
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589710,Inventing the United States-I,UG21,3,History of the US to 1865       
ELIZABETHTOWN COMM &TECH COLLEGE,300085,589714,Intro to Sociology,UG21,3,Intro to Sociology              
Eastern Kentucky University     ,38080,589527,Pure Elective,    ,1,Algebra: Polynomials            
Eastern Kentucky University     ,38080,589518,Inventing the United States-I,UG21,3,America Civilization to 1877    
Eastern Kentucky University     ,38080,589528,Fundamentals-I,UG21,3,Conversational Spanish I        
Eastern Kentucky University     ,38080,589523,Pure Elective,    ,3,Intro to Human Communication    
Eastern Kentucky University     ,38080,589520,Intro to Sociology,UG21,3,Introductory Sociology          
Eastern Kentucky University     ,38080,589516,Pure Elective,    ,3,"Reading, Writing, & Rhetoric    "
Eastern Kentucky University     ,38080,589524,Pure Elective,    ,3,"Reading, Writing, & Rhetoric    "
Eastern Kentucky University     ,38080,589522,Intro African/African Amer.Stud.,UG21,3,The African Experience          
Eastern Kentucky University     ,38080,589519,Pure Elective,    ,3,World Religions                 
Eastern Kentucky University     ,38080,543087,Pure Elective,    ,4,Cell and Molecular Biology      
Eastern Kentucky University     ,38080,543084,American Politics & Institutions,UG19,3,Intro to American Government    
Eastern Kentucky University     ,38080,543086,Pure Elective,    ,3,Introduction to Psychology      
Eastern Kentucky University     ,38080,543088,The History of Jazz,UG19,3,Jazz History                    
Eastern Kentucky University     ,38080,543085,Philosophy of Religion,UG19,3,Philosophy of Religion          
Eastern Kentucky University     ,38080,543083,Pure Elective,    ,3,Plate Tectonics:The ActEarth    
Eastern Kentucky University     ,38080,631390,Pure Elective,    ,3,American Sign Language I        
Eastern Kentucky University     ,38080,631392,Pure Elective,    ,3,American Sign Language II       
Eastern Kentucky University     ,38080,631391,Pure Elective,    ,3,Intro to PoliticalPhilosophy    
Eastern Kentucky University     ,38080,543136,Pure Elective,    ,3,College Algebra                 
Eastern Kentucky University     ,38080,543137,Pure Elective,    ,3,Introduction to Psychology      
Eastern Kentucky University     ,38080,543138,Intro to Sociology,UG19,3,Introductory Sociology          
Essex County College            ,7002,612507,American Political Thought,UG21,3,American Government             
Essex County College            ,7002,612501,Survey of Western Art-I,UG21,3,Art History I                   
Essex County College            ,7002,612502,Pure Elective,    ,4,College Biology I               
Essex County College            ,7002,612503,Pure Elective,    ,4,College Biology II              
Essex County College            ,7002,612506,Introduction to Film,UG21,3,Intro to the Art of Film        
Essex County College            ,7002,612504,Inventing the Modern World-I,UG21,3,World Civilization I            
Essex County College            ,7002,612505,Inventing the Modern World-II,UG21,3,World Civilization II           
FRANKLIN COLLEGE                ,227460,543091,Calculus-I,UG19,4,Calculus                        
FRANKLIN COLLEGE                ,227460,543093,Calculus-II,UG19,4,Calculus II                     
FRANKLIN COLLEGE                ,227460,543092,Intermediate-I,UG19,4,Intermediate Spanish            
FRANKLIN COLLEGE                ,227460,543094,Intermediate-II,UG19,4,"Intm Rd, Write & Dis            "
Florida Southwestern State Colle,370813,566755,Pure Elective,    ,3,American National Gov           
Florida Southwestern State Colle,370813,566758,Human Anatomy & Physiology-I,UG20,4,Anat & Phys I                   
Florida Southwestern State Colle,370813,566752,Pure Elective,    ,3,Biological Science I            
Florida Southwestern State Colle,370813,566753,Pure Elective,    ,1,Biological Science I L          
Florida Southwestern State Colle,370813,566754,Pure Elective,    ,3,College Algebra                 
Florida Southwestern State Colle,370813,566759,Life-Span Developmental Psych,UG20,3,Human Growth & Development      
Florida Southwestern State Colle,370813,566756,Pure Elective,    ,3,Introduction to Psychology      
Florida Southwestern State Colle,370813,566757,Intro to Sociology,UG20,3,Principles of Sociology         
GEORGETOWN COLLEGE              ,1746,565857,Intro to Comparative Politics,UG19,3,American Government             
GEORGETOWN COLLEGE              ,1746,565853,Doctrina Lux Mentis-I,UG20,3,English Composition I           
GEORGETOWN COLLEGE              ,1746,565858,Pure Elective,    ,3,English Composition II          
GEORGETOWN COLLEGE              ,1746,565854,Pure Elective,    ,3,Foundations I: Being Human      
GEORGETOWN COLLEGE              ,1746,565860,Pure Elective,    ,3,General Psychology              
GEORGETOWN COLLEGE              ,1746,565861,Intermediate-I,UG19,3,Intermediate Spanish            
GEORGETOWN COLLEGE              ,1746,565859,Pure Elective,    ,3,Liberal Arts Mathematics        
GEORGETOWN COLLEGE              ,1746,565856,The Structure of Good Reasoning,UG19,3,Logic                           
GEORGETOWN COLLEGE              ,1746,565855,Pure Elective,    ,2,Music Appreciation              
GEORGETOWN COLLEGE              ,1746,566811,Calculus-I,UG20,3,Calculus I                      
GEORGETOWN COLLEGE              ,1746,566812,Calculus-II,UG20,3,Calculus II                     
GEORGETOWN COLLEGE              ,1746,566810,General Chemistry-I,UG20,4,General Chemistry I             
Gateway Community & Technical Co,375058,589695,Pure Elective,    ,3,Basic Public Speaking           
Gateway Community & Technical Co,375058,589696,Pure Elective,    ,3,General Psychology              
Georgia Gwinnett College        ,354205,543145,American Politics & Institutions,UG19,3,American Government             
Georgia Gwinnett College        ,354205,543148,Pure Elective,    ,3,College Algebra                 
Georgia Gwinnett College        ,354205,543147,Pure Elective,    ,3,Introduction to Economics       
Georgia Gwinnett College        ,354205,543146,Pure Elective,    ,3,Introduction to Psychology      
Georgia Gwinnett College        ,354205,543149,Intro to Sociology,UG19,3,Introduction to Sociology       
Glendale Community College      ,7275,600567,Pure Elective,    ,3,Astro: The Solar System         
Glendale Community College      ,7275,600568,Pure Elective,    ,3,Critical Thinking/Argument      
Glendale Community College      ,7275,600569,Pure Elective,    ,3,Cultural Geography              
Glendale Community College      ,7275,600566,Survey of Psychological Science,UG21,3,General Psychology              
Glendale Community College      ,7275,600571,Materials & Stucture of Music-I,UG21,3,Harmony I                       
Glendale Community College      ,7275,600572,Pure Elective,    ,3,Intercultural Communication     
Glendale Community College      ,7275,600565,Intro to Philosophy,UG21,3,Intro to Philosophy             
Glendale Community College      ,7275,600570,Musicianship-I,UG21,1,Musicianship I                  
Glendale Community College      ,7275,600573,Introduction to Statistics,UG21,4,Statistics                      
Glendale Community College      ,7275,600564,Found. and Worldviews of Music,UG21,3,World Music                     
Goshen College                  ,354593,543019,Pure Elective,    ,3,Academic Voice:Spk/Wrt          
Goshen College                  ,354593,543017,Pure Elective,    ,4,American Sign Language I        
Goshen College                  ,354593,543020,Pure Elective,    ,3,Human Behavior                  
Goshen College                  ,354593,543018,Pure Elective,    ,3,"Identity, Culture & Comm        "
Goshen College                  ,354593,543016,Pure Elective,    ,3,Painting                        
Grinnell College                ,374936,589526,Introduction to Statistics,UG21,3,Applied Statistics              
Grinnell College                ,374936,589533,Pure Elective,    ,3,Cnstrctng Ident in Ind LatAm    
